date,actual_return,ridge_prediction,naive_prediction
2021-10-13,0.01081545363976355,-0.0021246999912280197,0.0014903471384131173
2021-10-14,0.01192966732048073,0.0028180136240602244,-0.0024801209047115025
2021-10-15,0.0019446240214291421,7.371014734163937e-05,0.01081545363976355
2021-10-18,0.006307576754816191,-0.0004955307356572603,0.01192966732048073
2021-10-19,0.010969186019189614,-0.0033278096138302585,0.0019446240214291421
2021-10-20,-0.016334836076273618,-0.0024250941890393445,0.006307576754816191
2021-10-21,0.015272753166429842,0.0009660108428394681,0.010969186019189614
2021-10-22,0.0,-0.0002119906900085555,-0.016334836076273618
2021-10-25,0.010625589385741652,-1.3644106678072782e-07,0.015272753166429842
2021-10-26,-0.023508539018291197,-0.0016373404979422,0.0
2021-10-27,0.001814588553582741,0.0017060322012391223,0.010625589385741652
2021-10-28,0.009177661618607225,-7.76297339333161e-05,-0.023508539018291197
2021-10-29,0.005743728116386793,0.0014052912020567129,0.001814588553582741
2021-11-01,-0.0016656678710912365,0.0003397658108704872,0.009177661618607225
2021-11-02,-0.036348503380355335,-0.003597727985536777,0.005743728116386793
2021-11-03,-0.025352498593666506,-6.532962724672877e-05,-0.0016656678710912365
2021-11-04,0.031214302254529258,0.0009185185114410697,-0.036348503380355335
2021-11-05,0.008121123284993814,0.0031611837550323215,-0.025352498593666506
2021-11-08,0.02709631651939448,-0.0005833171491528165,0.031214302254529258
2021-11-09,-0.03339281208597611,-0.003648587845304781,0.008121123284993814
2021-11-10,0.00307351870242889,-0.00046548908759979084,0.02709631651939448
2021-11-11,-0.009805067511588605,-0.002893498675034937,-0.03339281208597611
2021-11-12,0.0011139539159645828,0.0015958154907987814,0.00307351870242889
2021-11-15,-0.0014836192045299956,0.0008861730263806595,-0.009805067511588605
2021-11-16,-0.02971770012871533,0.0004191036649322942,0.0011139539159645828
2021-11-17,0.00829506790219492,0.000386157942866016,-0.0014836192045299956
2021-11-18,-0.03683082626794387,0.0013805769135542918,-0.02971770012871533
2021-11-19,0.008541413126308406,-0.0011819415560457899,0.00829506790219492
2021-11-22,0.0228013029315961,-0.00017714114404044734,-0.03683082626794387
2021-11-23,-0.001401281660529441,0.002843008174815758,0.008541413126308406
2021-11-24,-0.1306288805140844,-0.0022686417584308646,0.0228013029315961
2021-11-26,0.026412257990629184,-0.0019100435466818052,-0.001401281660529441
2021-11-29,-0.05389559410354117,0.003245479970702202,-0.1306288805140844
2021-11-30,-0.009217295369275735,0.015507890858896515,0.026412257990629184
2021-12-01,0.014183320260853893,-0.0018846163600082636,-0.05389559410354117
2021-12-02,-0.003608990432624526,0.001580184501067203,-0.009217295369275735
2021-12-03,0.04874729283736201,-0.0032620810532036906,0.014183320260853893
2021-12-06,0.03683990886007793,-0.001023798970243895,-0.003608990432624526
2021-12-07,0.004302533594218838,0.002525444651722409,0.04874729283736201
2021-12-08,-0.019624076243335065,-0.0035539842801548126,0.03683990886007793
2021-12-09,0.010290325661350463,0.0013831344977094143,0.004302533594218838
2021-12-10,-0.005302040785911788,0.0021899524397760825,-0.019624076243335065
2021-12-13,-0.007855204816974215,0.004203895081323095,0.010290325661350463
2021-12-14,0.0019793493991784317,0.002127739278811665,-0.005302040785911788
2021-12-15,0.021306539414643444,0.0002588841331020654,-0.007855204816974215
2021-12-16,-0.021000230737016623,0.0009802875328359063,0.0019793493991784317
2021-12-17,-0.03711539981321654,0.001309563244392967,0.021306539414643444
2021-12-20,0.04235672354477105,-0.00045483369666829616,-0.021000230737016623
2021-12-21,0.023059608075271854,0.002825578274690504,-0.03711539981321654
2021-12-22,0.014156112548875166,0.002812811286609924,0.04235672354477105
