,commodity,date,js_divergence
0,Brent Crude Oil,2014-08-11,0.24786057604493014
1,Brent Crude Oil,2014-08-12,0.2447407661260172
2,Brent Crude Oil,2014-07-09,0.24461889409011328
3,Crude Oil,2009-03-20,0.24246654232163128
4,Crude Oil,2009-03-23,0.23991740552127236
5,Crude Oil,2009-03-16,0.23986776871555074
6,Heating Oil,2014-08-12,0.23481471010969635
7,Heating Oil,2014-08-11,0.23392079138248426
8,Heating Oil,2014-08-05,0.23166088403931467
9,Natural Gas,2018-08-23,0.24705106456420248
10,Natural Gas,2018-08-21,0.24694894509427845
11,Natural Gas,2018-08-20,0.24694894509427845
12,RBOB Gasoline,2014-08-13,0.22734911419122308
13,RBOB Gasoline,2014-08-12,0.22734911419122308
14,RBOB Gasoline,2014-08-11,0.2242808976475405
